Framework,Nads_14DX_mean,Nads_14DX_sem,Nads_Water_mean,Nads_Water_sem
BEA,0.01754166666666667,3.6084391824351395e-05,303.348875,1.7075633392377247
EUO,0.09989583333333332,0.00019529513811721575,705.7865416666667,2.9308132960275373
FER,0.12959374999999998,0.0005244535640060153,207.2811875,0.49374024136585065
IFR,0.026687500000000006,6.546773484362765e-05,327.81526041666666,1.3598153234368315
MFI,0.012906250000000001,7.716423119806808e-05,781.8035416666667,2.3383565184223505
MOR,0.004895833333333333,2.8527216536727303e-05,613.9385,1.0118686158306824

