P_simN,P (bar),LoadingLiqAds [molec/nm3],dL,t0
Pliq17,0.0625,2.0605607782136532,0.0,0
Pliq18,0.125,2.0605607782136532,0.0,0
Pliq19,0.25,2.0611030310500253,0.0005751459865744357,0
Pliq20,0.5,2.0605607782136532,0.0,0
