P_simN,P (bar),LoadingLiqAds [molec/nm3],dL,t0
Pliq17,0.0625,1.9125476676099231,0.006486841337377177,1
Pliq18,0.125,1.9153185619227713,0.007122710694549009,0
Pliq19,0.25,1.914884566427988,0.006981873744690329,0
Pliq20,0.5,1.9212962694167646,0.007289277678281765,13
