P_simN,P (bar),LoadingLiqAds [molec/nm3],dL,t0
Pliq17,0.0625,1.8185217127486224,0.003311803971925599,13
Pliq18,0.125,1.812779254390821,0.004104335778863209,12
Pliq19,0.25,1.811319994384603,0.004653189677940641,8
Pliq20,0.5,1.8127124330572024,0.0039350963801502836,3
