P_simN,P (bar),LoadingLiqAds [molec/nm3],dL,t0
Pliq17,0.0625,1.068112582913846,0.006338732661282456,1
Pliq18,0.125,1.0678089261738561,0.006241309220475257,7
Pliq19,0.25,1.0616507674868645,0.0036168730212247776,9
Pliq20,0.5,1.0699405964885838,0.005117179585045434,9
