P_simN,P (bar),LoadingLiqAds [molec/nm3],dL,t0
Pliq17,0.0625,1.9942746858892808,0.005593649070137816,29
Pliq18,0.125,1.9872061906984007,0.00800140819113875,0
Pliq19,0.25,1.9866689495438172,0.008385284414547134,0
Pliq20,0.5,1.9895100963393721,0.0076564551808584735,11
