P_simN,P (bar),LoadingLiqAds [molec/nm3],dL,t0
Pliq17,0.0625,2.4353407698640446,0.009500508825300253,35
Pliq18,0.125,2.4259652030254433,0.007126868656599216,39
Pliq19,0.25,2.429854782859462,0.009693172015246956,13
Pliq20,0.5,2.4216098771616004,0.012272087185317096,1
